"anly_mapped_zipcode","results_to_report","results_to_report","results_to_report","results_to_report","results_to_report_less_than_1","results_to_report_less_than_1"
"01341",0,0,0,0,2,2
"01342",0,0,0,0,3,3
"01344",0,0,0,0,2,2
"01349",0,0,0,0,2,2
"01351",0,0,0,0,3,3
"01354",0,0,0,0,3,3
"01360",0,0,0,0,8,8
"01364",0,0,0,0,4,4
"01370",0,0,0,0,2,2
"01373",0,0,0,0,4,4
"01375",0,0,0,0,1,1
"01376",0,0,0,0,4,4
"01378",0,0,0,0,2,2
"01379",0,0,0,0,1,1
"01420",0,0,0,0,24,24
"01430",0,0,0,0,2,2
"01432",0,0,0,0,28,28
"01436",0,0,0,0,2,2
"01440",0,0,0,0,6,6
"01450",0,0,0,0,6,6
"01451",0,0,0,0,11,11
"01452",0,0,0,0,1,1
"01453",0,0,0,0,19,19
"01456",0,0,0,0,1,1
"01460",0,0,0,0,6,6
"01462",0,0,0,0,3,3
"01463",0,0,0,0,9,9
"01464",0,0,0,0,20,20
"01469",0,0,0,0,7,7
"01470",0,0,0,0,1,1
"01474",0,0,0,0,1,1
"01475",0,0,0,0,1,1
"01501",0,0,0,0,11,11
"01503",0,0,0,0,4,4
"01504",0,0,0,0,129,129
"01506",0,0,0,0,2,2
"01507",0,0,0,0,7,7
"01510",0,0,0,0,6,6
"01512",0,0,0,0,1,1
"01515",0,0,0,0,1,1
"01516",0,0,0,0,35,35
"01519",0,0,0,0,3,3
"01520",0,0,0,0,8,8
"01523",0,0,0,0,5,5
"01527",0,0,0,0,17,17
"01529",0,0,0,0,42,42
"01532",0,0,0,0,12,12
"01534",0,0,0,0,9,9
"01535",0,0,0,0,6,6
"01536",0,0,0,0,2,2
"01540",0,0,0,0,2,2
"01541",0,0,0,0,3,3
"01543",0,0,0,0,1,1
"01545",0,0,0,0,36,36
"01550",0,0,0,0,4,4
"01552",0,0,0,0,1,1
"01560",0,0,0,0,3,3
"01562",0,0,0,0,2,2
"01564",0,0,0,0,4,4
"01566",0,0,0,0,1,1
"01568",0,0,0,0,2,2
"01569",0,0,0,0,54,54
"01570",0,0,0,0,10,10
"01571",0,0,0,0,8,8
"01580",0,0,0,0,1,1
"01581",0,0,0,0,10,10
"01583",0,0,0,0,6,6
"01585",0,0,0,0,2,2
"01588",0,0,0,0,21,21
"01590",0,0,0,0,10,10
"01601",0,0,0,0,1,1
"01602",0,0,0,0,41,41
"01603",0,0,0,0,149,149
"01604",0,0,0,0,57,57
"01605",0,0,0,0,23,23
"01606",0,0,0,0,17,17
"01607",0,0,0,0,12,12
"01608",0,0,0,0,8,8
"01609",0,0,0,0,15,15
"01610",0,0,0,0,50,50
"01611",0,0,0,0,1,1
"01630",0,0,0,0,1,1
"01639",0,0,0,0,1,1
"01645",0,0,0,0,1,1
"01666",0,0,0,0,3,3
"01700",0,0,0,0,1,1
"01701",0,0,0,0,27,27
"01702",0,0,0,0,8,8
"01703",0,0,0,0,7,7
"01704",0,0,0,0,6,6
"01719",0,0,0,0,2,2
"01720",0,0,0,0,11,11
"01721",0,0,0,0,7,7
"01730",0,0,0,0,12,12
"01731",0,0,0,0,1,1
"01740",0,0,0,0,5,5
"01741",0,0,0,0,9,9
"01742",0,0,0,0,21,21
"01745",0,0,0,0,1,1
"01746",0,0,0,0,8,8
"01747",0,0,0,0,4,4
"01748",0,0,0,0,5,5
"01749",0,0,0,0,8,8
"01752",0,0,0,0,17,17
"01754",0,0,0,0,7,7
"01756",0,0,0,0,8,8
"01757",0,0,0,0,26,26
"01760",0,0,0,0,22,22
"01761",0,0,0,0,1,1
"01770",0,0,0,0,3,3
"01772",0,0,0,0,3,3
"01773",0,0,0,0,7,7
"01775",0,0,0,0,1,1
"01776",0,0,0,0,4,4
"01778",0,0,0,0,10,10
"01781",0,0,0,0,1,1
"01795",0,0,0,0,1,1
"01801",0,0,0,0,9,9
"01802",0,0,0,0,1,1
"01803",0,0,0,0,3,3
"01810",0,0,0,0,13,13
"01813",0,0,0,0,1,1
"01821",0,0,0,0,2,2
"01824",0,0,0,0,7,7
"01826",0,0,0,0,1,1
"01830",0,0,0,0,5,5
"01832",0,0,0,0,5,5
"01834",0,0,0,0,1,1
"01835",0,0,0,0,2,2
"01840",0,0,0,0,1,1
"01841",0,0,0,0,6,6
"01843",0,0,0,0,3,3
"01844",0,0,0,0,6,6
"01845",0,0,0,0,3,3
"01850",0,0,0,0,2,2
"01851",0,0,0,0,3,3
"01852",0,0,0,0,5,5
"01854",0,0,0,0,5,5
"01860",0,0,0,0,4,4
"01863",0,0,0,0,16,16
"01864",0,0,0,0,5,5
"01867",0,0,0,0,2,2
"01876",0,0,0,0,6,6
"01879",0,0,0,0,3,3
"01880",0,0,0,0,14,14
"01886",0,0,0,0,9,9
"01887",0,0,0,0,7,7
"01890",0,0,0,0,18,18
"01902",0,0,0,0,19,19
"01904",0,0,0,0,3,3
"01905",0,0,0,0,6,6
"01906",0,0,0,0,4,4
"01907",0,0,0,0,8,8
"01908",0,0,0,0,1,1
"01913",0,0,0,0,1,1
"01915",0,0,0,0,17,17
"01921",0,0,0,0,5,5
"01922",0,0,0,0,2,2
"01923",0,0,0,0,4,4
"01930",0,0,0,0,13,13
"01938",0,0,0,0,8,8
"01940",0,0,0,0,6,6
"01944",0,0,0,0,4,4
"01945",0,0,0,0,8,8
"01949",0,0,0,0,4,4
"01950",0,0,0,0,13,13
"01951",0,0,0,0,1,1
"01960",0,0,0,0,9,9
"01965",0,0,0,0,3,3
"01966",0,0,0,0,1,1
"01970",0,0,0,0,11,11
"01976",0,0,0,0,1,1
"01982",0,0,0,0,11,11
"01983",0,0,0,0,3,3
"01984",0,0,0,0,3,3
"01985",0,0,0,0,1,1
"02002",0,0,0,0,2,2
"02003",0,0,0,0,1,1
"02012",0,0,0,0,1,1
"02019",0,0,0,0,64,64
"02021",0,0,0,0,5,5
"02025",0,0,0,0,6,6
"02026",0,0,0,0,13,13
"02029",0,0,0,0,3,3
"02030",0,0,0,0,3,3
"02032",0,0,0,0,3,3
"02035",0,0,0,0,46,46
"02038",0,0,0,0,34,34
"02040",0,0,0,0,2,2
"02043",0,0,0,0,19,19
"02044",0,0,0,0,3,3
"02045",0,0,0,0,6,6
"02048",0,0,0,0,69,69
"02050",0,0,0,0,37,37
"02052",0,0,0,0,8,8
"02053",0,0,0,0,15,15
"02054",0,0,0,0,3,3
"02056",0,0,0,0,12,12
"02057",0,0,0,0,1,1
"02059",0,0,0,0,1,1
"02060",0,0,0,0,2,2
"02061",0,0,0,0,21,21
"02062",0,0,0,0,18,18
"02066",0,0,0,0,16,16
"02067",0,0,0,0,19,19
"02070",0,0,0,0,4,4
"02071",0,0,0,0,3,3
"02072",0,0,0,0,5,5
"02078",0,0,0,0,1,1
"02081",0,0,0,0,9,9
"02090",0,0,0,0,8,8
"02093",0,0,0,0,37,37
"02095",0,0,0,0,3,3
"02096",0,0,0,0,2,2
"02101",0,0,0,0,1,1
"02105",0,0,0,0,1,1
"02108",0,0,0,0,2,2
"02109",0,0,0,0,5,5
"02110",0,0,0,0,48,48
"02111",0,0,0,0,10,10
"02113",0,0,0,0,8,8
"02114",0,0,0,0,18,18
"02115",0,0,0,0,21,21
"02116",0,0,0,0,19,19
"02118",0,0,0,0,34,34
"02119",0,0,0,0,13,13
"02120",0,0,0,0,5,5
"02121",0,0,0,0,11,11
"02122",0,0,0,0,9,9
"02123",0,0,0,0,1,1
"02124",0,0,0,0,10,10
"02125",0,0,0,0,14,14
"02126",0,0,0,0,5,5
"02127",0,0,0,0,23,23
"02128",0,0,0,0,6,6
"02129",0,0,0,0,19,19
"02130",0,0,0,0,27,27
"02131",0,0,0,0,4,4
"02132",0,0,0,0,23,23
"02134",0,0,0,0,13,13
"02135",0,0,0,0,44,44
"02136",0,0,0,0,10,10
"02138",0,0,0,0,25,25
"02139",0,0,0,0,16,16
"02140",0,0,0,0,8,8
"02141",0,0,0,0,4,4
"02142",0,0,0,0,1,1
"02143",0,0,0,0,14,14
"02144",0,0,0,0,21,21
"02145",0,0,0,0,6,6
"02148",0,0,0,0,17,17
"02149",0,0,0,0,2,2
"02150",0,0,0,0,15,15
"02151",0,0,0,0,8,8
"02152",0,0,0,0,3,3
"02153",0,0,0,0,2,2
"02155",0,0,0,0,12,12
"02163",0,0,0,0,2,2
"02169",0,0,0,0,15,15
"02171",0,0,0,0,9,9
"02173",0,0,0,0,1,1
"02176",0,0,0,0,13,13
"02180",0,0,0,0,6,6
"02181",0,0,0,0,2,2
"02184",0,0,0,0,20,20
"02186",0,0,0,0,12,12
"02188",0,0,0,0,9,9
"02189",0,0,0,0,4,4
"02190",0,0,0,0,4,4
"02191",0,0,0,0,1,1
"02199",0,0,0,0,5,5
"02210",0,0,0,0,1,1
"02215",0,0,0,0,17,17
"02264",0,0,0,0,1,1
"02269",0,0,0,0,1,1
"02290",0,0,0,0,1,1
"02298",0,0,0,0,1,1
"02301",0,0,0,0,29,29
"02302",0,0,0,0,9,9
"02322",0,0,0,0,1,1
"02324",0,0,0,0,11,11
"02330",0,0,0,0,1,1
"02332",0,0,0,0,13,13
"02333",0,0,0,0,8,8
"02334",0,0,0,0,2,2
"02338",0,0,0,0,3,3
"02343",0,0,0,0,1,1
"02346",0,0,0,0,14,14
"02347",0,0,0,0,13,13
"02351",0,0,0,0,6,6
"02356",0,0,0,0,13,13
"02359",0,0,0,0,3,3
"02360",0,0,0,0,20,20
"02364",0,0,0,0,3,3
"02367",0,0,0,0,1,1
"02368",0,0,0,0,19,19
"02370",0,0,0,0,5,5
"02375",0,0,0,0,9,9
"02376",0,0,0,0,2,2
"02377",0,0,0,0,1,1
"02379",0,0,0,0,6,6
"02382",0,0,0,0,8,8
"02419",0,0,0,0,1,1
"02420",0,0,0,0,2,2
"02421",0,0,0,0,7,7
"02440",0,0,0,0,3,3
"02445",0,0,0,0,3,3
"02446",0,0,0,0,33,33
"02451",0,0,0,0,5,5
"02452",0,0,0,0,3,3
"02453",0,0,0,0,11,11
"02458",0,0,0,0,6,6
"02459",0,0,0,0,25,25
"02460",0,0,0,0,1,1
"02461",0,0,0,0,12,12
"02462",0,0,0,0,3,3
"02464",0,0,0,0,2,2
"02465",0,0,0,0,14,14
"02466",0,0,0,0,8,8
"02467",0,0,0,0,3,3
"02468",0,0,0,0,2,2
"02472",0,0,0,0,10,10
"02474",0,0,0,0,18,18
"02475",0,0,0,0,1,1
"02476",0,0,0,0,6,6
"02478",0,0,0,0,20,20
"02479",0,0,0,0,1,1
"02481",0,0,0,0,12,12
"02482",0,0,0,0,6,6
"02492",0,0,0,0,13,13
"02493",0,0,0,0,17,17
"02494",0,0,0,0,5,5
"02528",0,0,0,0,2,2
"02532",0,0,0,0,5,5
