"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"02376",1,1,1,1,2,2
"02379",0,0,0,0,2,2
"02382",0,0,0,0,3,3
"02446",1.8333333333333333,1,1,2,8,12
"02451",0.5,0,0,1,2,2
"02452",1.5,0,0,3,1,2
"02453",1.3333333333333333,0,0,4,2,3
"02459",0,0,0,0,10,10
"02461",0.7142857142857143,1,0,1,7,7
"02464",1,1,1,1,1,1
"02465",0.4,0,0,1,5,5
"02467",2,2,2,2,0,1
"02472",0.5,0,0,1,2,2
"02474",0,0,0,0,3,3
"02476",0.3333333333333333,0,0,1,3,3
"02478",0,0,0,0,5,5
"02482",1,1,1,1,1,1
"02492",0,0,0,0,3,3
"02493",0.25,0,0,0,4,4
"02494",1,1,1,1,1,1
"02535",2,2,2,2,0,1
"02539",1,1,1,1,1,1
"02540",0.5,0,0,1,2,2
"02554",1.5,1,1,2,1,2
"02564",0,0,0,0,1,1
"02571",1,1,1,1,1,1
"02575",1,1,1,1,1,1
"02576",1,1,1,1,1,1
"02632",1,1,1,1,1,1
"02633",0.5,0,0,1,2,2
"02649",0,0,0,0,1,1
"02653",1,1,1,1,1,1
"02655",0,0,0,0,1,1
"02657",1,1,1,1,2,2
"02664",0,0,0,0,1,1
"02703",0.5,0,0,0,3,4
"02720",0.3333333333333333,0,0,1,3,3
"02740",3,1,0,8,2,3
"02746",0,0,0,0,4,4
"02760",0,0,0,0,3,3
"02767",0.8,0,0,1,4,5
"02777",0.5,0,0,1,2,2
"02780",0,0,0,0,2,2
"02790",0,0,0,0,1,1
"02806",0.5714285714285714,1,0,1,7,7
"02816",0,0,0,0,3,3
"02818",1,1,1,1,1,1
"02840",2,1,1,3,1,2
"02842",4,4,4,4,0,1
"02852",0.5,0,0,1,4,4
"02857",1,1,1,1,4,4
"02860",0.3333333333333333,0,0,1,3,3
"02864",1,1,1,1,1,1
"02885",0,0,0,0,3,3
"02888",0,0,0,0,3,3
"02889",0,0,0,0,2,2
"02891",3,0,0,6,1,2
"02893",0,0,0,0,2,2
"02895",0,0,0,0,1,1
"02903",2,2,2,2,0,1
"02904",0,0,0,0,1,1
"02905",0,0,0,0,4,4
"02906",1.5555555555555556,1,0,1,8,9
"02909",0,0,0,0,1,1
"02912",1,1,1,1,1,1
"02915",0,0,0,0,5,5
"02916",2,1,0,5,2,3
"02919",1,1,1,1,1,1
"02949",0,0,0,0,1,1
"03021",4,1,1,7,1,2
"03037",1,1,1,1,1,1
"03045",1,1,1,1,2,2
"03046",1,1,1,1,1,1
"03049",0.5,0,0,1,4,4
"03051",0.6,1,0,1,5,5
"03053",0,0,0,0,1,1
"03054",1.3333333333333333,1,0,3,2,3
"03060",0,0,0,0,1,1
"03062",0.6666666666666666,0,0,1,5,6
"03063",1,1,1,1,3,3
"03079",1,1,0,2,4,7
"03082",1,1,1,1,1,1
"03100",0.6666666666666666,1,0,1,6,6
"03101",0,0,0,0,1,1
"03102",0.5,0,0,1,6,6
"03103",0.25,0,0,0,4,4
"03109",1,1,1,1,1,1
"03110",1,0,0,3,2,3
"03111",1,1,1,1,1,1
"03116",1,1,1,1,2,2
"03222",0,0,0,0,2,2
"03244",1.6666666666666667,2,1,2,1,3
"03245",1,1,1,1,1,1
"03253",0.75,0,0,1,3,4
"03255",0,0,0,0,2,2
"03301",0,0,0,0,6,6
"03303",0,0,0,0,1,1
"03320",0.3333333333333333,0,0,1,3,3
"03332",6,6,6,6,0,1
"03337",0,0,0,0,1,1
"03341",0,0,0,0,3,3
"03443",1,1,1,1,1,1
"03464",0,0,0,0,1,1
"03561",1,0,0,2,1,2
"03584",1,1,1,1,2,2
"03753",1,1,1,1,1,1
"03756",0.5,0,0,1,24,24
"03766",1,1,1,1,3,3
"03773",0,0,0,0,1,1
"03782",0,0,0,0,1,1
"03801",0,0,0,0,2,2
"03809",1,1,1,1,1,1
"03820",1.6666666666666667,0,0,5,2,3
"03824",1.6666666666666667,1,0,4,2,3
"03825",2,2,2,2,0,2
"03833",1,1,1,1,2,2
"03837",0,0,0,0,2,2
"03846",1,1,1,1,1,1
"03850",0,0,0,0,1,1
"03851",0,0,0,0,1,1
"03855",1,1,1,1,1,1
"03856",0,0,0,0,1,1
"03861",3,3,3,3,0,1
"03862",0,0,0,0,1,1
"03865",0,0,0,0,1,1
"03870",1.75,0,0,1,3,4
"03894",0,0,0,0,3,3
"03902",0,0,0,0,1,1
"03908",0,0,0,0,1,1
"03909",1,1,1,1,2,2
"04009",0.5,0,0,1,2,2
"04011",0.6666666666666666,1,0,1,3,3
"04021",1,1,1,1,1,1
"04026",1,1,1,1,1,1
"04037",0,0,0,0,2,2
"04042",0,0,0,0,2,2
"04051",1,1,1,1,1,1
"04055",0,0,0,0,1,1
"04072",0,0,0,0,1,1
"04073",0.5,0,0,1,2,2
"04074",0.6666666666666666,0,0,2,2,3
"04078",0,0,0,0,1,1
"04079",1,1,1,1,1,1
"04083",2,0,0,4,1,2
"04084",0,0,0,0,1,1
"04086",3,3,3,3,0,1
"04092",0,0,0,0,1,1
"04095",0,0,0,0,1,1
"04096",0,0,0,0,2,2
"04103",4,5,2,5,0,3
"04105",1,1,1,1,3,3
"04106",0.5714285714285714,0,0,1,6,7
"04111",0,0,0,0,3,3
"04121",2,0,0,4,1,2
"04210",0,0,0,0,1,1
"04255",0,0,0,0,1,1
"04268",2,2,2,2,0,1
"04363",1,1,1,1,1,1
"04364",0,0,0,0,1,1
"04400",0.3333333333333333,0,0,1,3,3
"04401",0.5,0,0,1,2,2
"04416",0,0,0,0,3,3
