"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"02465",0.4,0,0,1,5,5
"02467",0.15384615384615385,0,0,0,12,13
"02472",1,1,1,1,2,2
"02474",0,0,0,0,3,3
"02478",0,0,0,0,4,4
"02481",0,0,0,0,8,8
"02482",1,0,0,2,1,2
"02492",0,0,0,0,5,5
"02493",0.3333333333333333,0,0,1,3,3
"02535",0.6666666666666666,0,0,2,2,3
"02536",0,0,0,0,8,8
"02537",0,0,0,0,4,4
"02539",0,0,0,0,1,1
"02540",0,0,0,0,2,2
"02554",0.6666666666666666,0,0,2,2,3
"02556",0,0,0,0,4,4
"02557",2,2,2,2,0,1
"02562",0,0,0,0,1,1
"02563",0,0,0,0,6,6
"02564",0,0,0,0,1,1
"02568",0,0,0,0,2,2
"02571",0,0,0,0,2,2
"02574",0,0,0,0,1,1
"02575",0,0,0,0,3,3
"02576",0.5,0,0,1,2,2
"02601",0,0,0,0,2,2
"02631",0,0,0,0,4,4
"02632",0,0,0,0,3,3
"02633",0.25,0,0,0,4,4
"02635",0,0,0,0,1,1
"02639",0,0,0,0,1,1
"02646",0,0,0,0,3,3
"02648",0,0,0,0,1,1
"02649",0,0,0,0,8,8
"02653",0.25,0,0,0,4,4
"02655",0,0,0,0,6,6
"02657",0,0,0,0,3,3
"02659",0,0,0,0,2,2
"02673",0,0,0,0,1,1
"02675",0,0,0,0,1,1
"02703",1,0,0,2,1,2
"02717",0,0,0,0,2,2
"02718",0,0,0,0,10,10
"02719",0,0,0,0,6,6
"02721",1,1,1,1,1,1
"02723",0,0,0,0,1,1
"02725",0,0,0,0,1,1
"02726",0.5,0,0,1,2,2
"02739",0,0,0,0,1,1
"02740",0.14285714285714285,0,0,0,13,14
"02745",0,0,0,0,5,5
"02746",0.5,0,0,1,6,6
"02747",0,0,0,0,2,2
"02760",0,0,0,0,6,6
"02762",0,0,0,0,1,1
"02766",0,0,0,0,1,1
"02771",0,0,0,0,1,1
"02777",0,0,0,0,1,1
"02779",0,0,0,0,2,2
"02780",0,0,0,0,1,1
"02806",0.4,0,0,1,5,5
"02809",0,0,0,0,3,3
"02813",0,0,0,0,3,3
"02816",0,0,0,0,6,6
"02818",0,0,0,0,1,1
"02833",0,0,0,0,1,1
"02838",0,0,0,0,1,1
"02840",0.75,0,0,0,3,4
"02842",2,0,0,4,1,2
"02860",0,0,0,0,2,2
"02861",0,0,0,0,16,16
"02863",0,0,0,0,2,2
"02864",0,0,0,0,4,4
"02871",0,0,0,0,1,1
"02874",0,0,0,0,1,1
"02878",0,0,0,0,2,2
"02879",0,0,0,0,7,7
"02881",0,0,0,0,1,1
"02882",0,0,0,0,3,3
"02886",0,0,0,0,2,2
"02888",0,0,0,0,2,2
"02889",0,0,0,0,1,1
"02891",0,0,0,0,1,1
"02893",0.5,0,0,1,2,2
"02895",0,0,0,0,2,2
"02896",0,0,0,0,2,2
"02903",2,2,2,2,0,1
"02904",1.25,0,0,2,2,4
"02905",0,0,0,0,2,2
"02906",0,0,0,0,1,1
"02908",0,0,0,0,2,2
"02909",0,0,0,0,2,2
"02910",0,0,0,0,7,7
"02911",0,0,0,0,1,1
"02914",0,0,0,0,2,2
"02915",1,1,1,1,1,1
"02916",2.3333333333333335,1,0,6,2,3
"02919",0,0,0,0,2,2
"02920",0,0,0,0,2,2
"02921",0,0,0,0,1,1
"03031",0,0,0,0,1,1
"03038",0,0,0,0,5,5
"03045",3,3,3,3,0,1
"03046",1,1,1,1,1,1
"03049",0,0,0,0,2,2
"03051",0,0,0,0,5,5
"03053",0.3,0,0,1,10,10
"03054",1.6666666666666667,0,0,5,2,3
"03055",0,0,0,0,1,1
"03057",0,0,0,0,1,1
"03060",0,0,0,0,1,1
"03062",0.625,0,0,1,7,8
"03063",0.4,0,0,0,4,5
"03076",0,0,0,0,1,1
"03077",0,0,0,0,2,2
"03079",2.5,3,1,3,1,4
"03102",0,0,0,0,1,1
"03103",0.10344827586206896,0,0,0,28,29
"03104",0,0,0,0,2,2
"03110",0.5714285714285714,0,0,0,6,7
"03159",0,0,0,0,2,2
"03222",0,0,0,0,4,4
"03226",0,0,0,0,4,4
"03229",0,0,0,0,1,1
"03235",0,0,0,0,2,2
"03243",0,0,0,0,1,1
"03244",1,1,1,1,1,1
"03245",2,2,2,2,0,1
"03246",0,0,0,0,2,2
"03249",0,0,0,0,5,5
"03253",0,0,0,0,2,2
"03254",0,0,0,0,3,3
"03262",0,0,0,0,1,1
"03282",0,0,0,0,1,1
"03301",0.375,0,0,1,8,8
"03306",0,0,0,0,1,1
"03316",2,2,2,2,0,1
"03320",0,0,0,0,5,5
"03431",0,0,0,0,3,3
"03446",0,0,0,0,1,1
"03447",0,0,0,0,4,4
"03455",0,0,0,0,1,1
"03458",0,0,0,0,1,1
"03467",0,0,0,0,2,2
"03493",2,2,2,2,0,1
"03561",0,0,0,0,1,1
"03581",0,0,0,0,2,2
"03704",2,2,2,2,0,1
"03710",1,1,1,1,1,1
"03748",0,0,0,0,2,2
"03753",0,0,0,0,4,4
"03755",0,0,0,0,5,5
"03765",0,0,0,0,1,1
"03774",0,0,0,0,1,1
"03777",0,0,0,0,1,1
"03782",0,0,0,0,3,3
"03801",0,0,0,0,1,1
"03802",0,0,0,0,1,1
"03809",1,1,1,1,1,1
"03813",0,0,0,0,1,1
"03818",0,0,0,0,2,2
"03820",0,0,0,0,7,7
"03824",4,4,4,4,0,1
"03825",1.3333333333333333,2,0,2,1,3
"03833",0,0,0,0,2,2
"03837",0,0,0,0,1,1
"03841",0,0,0,0,1,1
"03842",0,0,0,0,5,5
"03844",0,0,0,0,1,1
"03848",0,0,0,0,3,3
"03854",21.333333333333332,31,0,33,1,3
"03858",0,0,0,0,1,1
"03861",4,4,4,4,0,1
"03865",0,0,0,0,1,1
"03867",0,0,0,0,4,4
"03870",0.16666666666666666,0,0,0,6,6
"03871",0,0,0,0,1,1
"03872",0,0,0,0,1,1
"03874",0,0,0,0,3,3
"03885",0,0,0,0,3,3
"03890",1.5,1,1,2,1,2
"03894",0,0,0,0,1,1
"03896",0,0,0,0,2,2
"03909",0.5,0,0,1,4,4
"03927",0,0,0,0,1,1
"04005",0,0,0,0,3,3
"04011",0.3333333333333333,0,0,1,3,3
"04021",1,1,1,1,2,2
"04038",0,0,0,0,1,1
"04046",0.5,0,0,1,2,2
"04048",0,0,0,0,1,1
"04062",0,0,0,0,1,1
"04071",0,0,0,0,1,1
"04074",1.1666666666666667,0,0,3,4,6
"04078",1,1,1,1,1,1
"04079",0,0,0,0,2,2
"04084",0,0,0,0,1,1
"04090",0,0,0,0,1,1
"04092",0,0,0,0,6,6
"04093",0,0,0,0,3,3
