"anly_mapped_zipcode","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession_less_than_1","collection_to_accession_less_than_1"
"03837",0,0,0,0,1,1
"03841",0,0,0,0,1,1
"03842",0.4,0,0,1,5,5
"03844",0,0,0,0,1,1
"03848",0,0,0,0,3,3
"03854",0,0,0,0,3,3
"03858",0,0,0,0,1,1
"03861",1,1,1,1,1,1
"03865",0,0,0,0,1,1
"03867",0.75,1,0,1,4,4
"03870",0,0,0,0,6,6
"03871",0,0,0,0,1,1
"03872",0,0,0,0,1,1
"03874",0,0,0,0,3,3
"03885",3,3,3,3,0,3
"03890",1,1,1,1,2,2
"03894",0,0,0,0,1,1
"03896",0,0,0,0,2,2
"03909",0,0,0,0,4,4
"03927",1,1,1,1,1,1
"04005",0,0,0,0,3,3
"04011",0,0,0,0,3,3
"04021",0,0,0,0,1,1
"04038",0,0,0,0,1,1
"04046",1,1,1,1,1,1
"04048",0,0,0,0,1,1
"04062",0,0,0,0,1,1
"04071",0,0,0,0,1,1
"04074",0.4,0,0,0,4,5
"04078",1,1,1,1,1,1
"04079",0,0,0,0,2,2
"04084",0,0,0,0,1,1
"04090",0,0,0,0,1,1
"04092",0,0,0,0,6,6
"04093",0.3333333333333333,0,0,1,3,3
"04101",0,0,0,0,1,1
"04102",0,0,0,0,2,2
"04103",0.75,1,0,1,4,4
"04105",0.5,0,0,1,2,2
"04106",0.14285714285714285,0,0,0,7,7
"04107",0,0,0,0,1,1
"04110",1,1,1,1,2,2
"04151",2,2,2,2,0,1
"04220",0,0,0,0,1,1
"04221",1,1,1,1,1,1
"04231",2,2,2,2,0,1
"04235",3,3,3,3,0,1
"04260",0,0,0,0,1,1
"04263",0,0,0,0,2,2
"04289",0.3333333333333333,0,0,1,3,3
"04364",0,0,0,0,1,1
"04401",0,0,0,0,2,2
"04412",0,0,0,0,1,1
"04416",0,0,0,0,3,3
"04427",0.5,0,0,1,2,2
"04429",1,1,1,1,1,1
"04443",0,0,0,0,1,1
"04472",0,0,0,0,2,2
"04478",0,0,0,0,2,2
"04530",0,0,0,0,1,1
"04537",0,0,0,0,2,2
"04555",0,0,0,0,1,1
"04609",0,0,0,0,1,1
"04649",0,0,0,0,5,5
"04662",1,1,1,1,1,1
"04734",0,0,0,0,1,1
"04736",0.5,0,0,1,2,2
"04742",1,1,1,1,1,1
"04743",0,0,0,0,3,3
"04769",0,0,0,0,1,1
"04841",0.5,0,0,1,4,4
"04849",0.3333333333333333,0,0,1,3,3
"04850",0,0,0,0,1,1
"04856",1,1,1,1,1,1
"04861",2,2,2,2,0,1
"04863",0,0,0,0,1,1
"04915",1,1,1,1,1,1
"04921",0,0,0,0,1,1
"04927",0,0,0,0,1,1
"04938",0,0,0,0,1,1
"04947",1,1,1,1,1,1
"04963",0,0,0,0,1,1
"04974",1,1,1,1,1,1
"05020",0,0,0,0,1,1
"05031",0,0,0,0,1,1
"05034",0.25,0,0,0,4,4
"05050",0,0,0,0,2,2
"05060",0,0,0,0,1,1
"05081",3,3,3,3,0,1
"05085",0.5,0,0,1,2,2
"05088",0,0,0,0,2,2
"05089",1,1,1,1,1,1
"05091",0,0,0,0,3,3
"05143",1,1,1,1,1,1
"05156",0.6666666666666666,1,0,1,3,3
"05201",1,1,1,1,4,4
"05211",3,3,3,3,0,1
"05254",0,0,0,0,2,2
"05255",0,0,0,0,2,2
"05257",0,0,0,0,1,1
"05301",1,1,1,1,1,1
"05356",0,0,0,0,2,2
"05401",0,0,0,0,1,1
"05403",0.6,0,0,2,7,10
"05408",0,0,0,0,1,1
"05440",0,0,0,0,1,1
"05443",0,0,0,0,1,1
"05445",0,0,0,0,1,1
"05446",0,0,0,0,1,1
"05452",0.4,0,0,0,4,5
"05464",0.5,0,0,1,2,2
"05465",0,0,0,0,1,1
"05468",1,1,1,1,2,2
"05477",0,0,0,0,3,3
"05482",1,1,1,1,1,1
"05488",0.42857142857142855,0,0,1,7,7
"05491",0,0,0,0,4,4
"05600",0,0,0,0,1,1
"05602",0,0,0,0,2,2
"05605",2,2,2,2,0,1
"05641",0,0,0,0,1,1
"05661",0,0,0,0,4,4
"05663",0,0,0,0,2,2
"05674",0,0,0,0,1,1
"05677",0,0,0,0,1,1
"05701",1,0,0,2,1,2
"05734",0,0,0,0,1,1
"05742",0,0,0,0,3,3
"05773",0,0,0,0,2,2
"05829",0,0,0,0,4,4
"05853",0,0,0,0,2,2
"06000",0,0,0,0,1,1
"06001",0.3333333333333333,0,0,1,3,3
"06002",0.5,0,0,1,2,2
"06010",0.1,0,0,0,10,10
"06013",0,0,0,0,2,2
"06016",0,0,0,0,2,2
"06027",0,0,0,0,2,2
"06029",0,0,0,0,1,1
"06031",0,0,0,0,1,1
"06032",0.3,0,0,1,10,10
"06033",0,0,0,0,2,2
"06035",0,0,0,0,2,2
"06037",0,0,0,0,1,1
"06040",0.6153846153846154,1,0,1,12,13
"06042",0,0,0,0,2,2
"06051",0,0,0,0,2,2
"06053",0,0,0,0,3,3
"06066",1.6,1,0,3,3,5
"06067",0,0,0,0,2,2
"06070",0,0,0,0,1,1
"06073",0,0,0,0,1,1
"06074",0.14285714285714285,0,0,0,7,7
"06076",0.75,1,0,1,4,4
"06079",0,0,0,0,1,1
"06081",0,0,0,0,1,1
"06082",0,0,0,0,5,5
"06084",0,0,0,0,3,3
"06085",0,0,0,0,3,3
"06092",0.5,0,0,1,4,4
"06095",0.5,0,0,1,4,4
"06098",0,0,0,0,1,1
"06105",1.25,1,0,1,3,4
"06106",0,0,0,0,3,3
"06107",0,0,0,0,3,3
"06108",0,0,0,0,1,1
"06109",0,0,0,0,2,2
"06111",0,0,0,0,1,1
"06112",0,0,0,0,1,1
"06117",2,2,2,2,0,3
"06118",0,0,0,0,1,1
"06120",0,0,0,0,9,9
"06232",3,3,3,3,0,1
"06234",0,0,0,0,3,3
"06240",1,1,1,1,1,1
"06248",0,0,0,0,6,6
"06266",0,0,0,0,1,1
"06268",1,1,1,1,3,3
"06277",0,0,0,0,1,1
"06279",1,1,1,1,2,2
"06282",0,0,0,0,1,1
"06320",3,3,3,3,0,1
"06333",0,0,0,0,1,1
"06340",3.3333333333333335,1,0,9,2,3
"06354",0,0,0,0,1,1
"06355",0,0,0,0,2,2
"06357",0,0,0,0,1,1
"06359",0,0,0,0,1,1
"06360",0,0,0,0,2,2
"06370",0,0,0,0,1,1
"06371",0,0,0,0,3,3
"06379",0.5,0,0,0,3,4
"06382",0,0,0,0,2,2
"06385",0,0,0,0,4,4
"06403",0,0,0,0,13,13
"06405",0,0,0,0,2,2
"06410",0,0,0,0,2,2
"06413",0,0,0,0,4,4
"06417",3,3,3,3,0,1
"06418",1,1,1,1,1,1
"06420",0,0,0,0,1,1
"06424",0,0,0,0,1,1
"06426",0,0,0,0,1,1
"06437",0.5,0,0,1,2,2
"06443",0.6666666666666666,1,0,1,3,3
"06450",0,0,0,0,2,2
"06455",0,0,0,0,1,1
"06457",0,0,0,0,5,5
"06458",0,0,0,0,1,1
"06460",0.25,0,0,0,4,4
"06468",0.7272727272727273,1,0,1,10,11
"06469",1,1,1,1,1,1
"06470",0,0,0,0,16,16
"06471",0.2222222222222222,0,0,0,9,9
"06472",0,0,0,0,2,2
"06473",0,0,0,0,1,1
"06475",1,1,1,1,2,2
"06477",1,1,1,1,2,2
"06482",1,0,0,1,3,4
"06483",0,0,0,0,2,2
"06484",1,1,0,2,2,3
"06488",0,0,0,0,1,1
"06489",0,0,0,0,3,3
"06492",0.25,0,0,0,4,4
"06498",1.125,0,0,2,5,8
"06511",0,0,0,0,6,6
"06512",0,0,0,0,6,6
"06513",0.42857142857142855,0,0,1,7,7
"06514",1,1,1,1,4,4
"06515",0,0,0,0,3,3
"06516",0.625,0,0,0,7,8
"06518",0,0,0,0,2,2
"06604",0,0,0,0,6,6
"06605",1,1,1,1,1,1
"06606",0,0,0,0,1,1
"06607",0,0,0,0,1,1
"06610",0.4,0,0,1,5,5
"06611",0.8181818181818182,0,0,2,8,11
"06612",0,0,0,0,2,2
"06614",0,0,0,0,3,3
"06615",0,0,0,0,3,3
